Month,Total_Orders,Returned_Orders,Total_Revenue,Total_Refund_Amount,Return_Rate,Net_Revenue
2024-01,4261,335,21837388,1715298.15,7.86,20122089.85
2024-02,3940,286,20130735,1356055.35,7.26,18774679.65
2024-03,4348,351,22243588,1837019.1,8.07,20406568.9
2024-04,4043,325,20653207,1743434.15,8.04,18909772.85
2024-05,4227,338,20727605,1699900.2,8.0,19027704.8
2024-06,3960,304,20035717,1440368.3,7.68,18595348.7
2024-07,4114,303,20679512,1576017.45,7.37,19103494.55
2024-08,4249,329,21380257,1663295.6,7.74,19716961.4
2024-09,4114,311,20739073,1618115.7,7.56,19120957.3
2024-10,4183,350,21364019,1614916.45,8.37,19749102.55
2024-11,4089,331,20742576,1685902.75,8.09,19056673.25
2024-12,4239,340,20895560,1681400.9,8.02,19214159.1
2025-01,4257,308,21148595,1670699.0,7.24,19477896.0
2025-02,3801,306,18936313,1451362.85,8.05,17484950.15
2025-03,4329,346,21592186,1789258.95,7.99,19802927.05
2025-04,4192,334,20820458,1528742.65,7.97,19291715.35
2025-05,4225,330,21225532,1617183.05,7.81,19608348.95
2025-06,4120,314,21190213,1750181.7,7.62,19440031.3
2025-07,4273,344,21433837,1610541.85,8.05,19823295.15
2025-08,4234,358,20751642,1709345.25,8.46,19042296.75
2025-09,4133,318,21365108,1584380.55,7.69,19780727.45
2025-10,4305,315,21436854,1474296.4,7.32,19962557.6
2025-11,4049,323,20333996,1605187.8,7.98,18728808.2
2025-12,4315,355,22022019,1789691.5,8.23,20232327.5
