Seller_ID,Total_Orders,Returned_Orders,Return_Rate,Total_Refund_Amount,Total_Revenue,Net_Revenue,Refund_Loss_Percentage,Risk_Category
S001,7721,174,2.25,1219501.85,54631528,53412026.15,2.23,Low Risk
S002,7953,415,5.22,2817991.4,57064702,54246710.6,4.94,Medium Risk
S003,7909,229,2.9,1533207.3,49426301,47893093.7,3.1,Low Risk
S004,7902,1528,19.34,9558742.4,49782718,40223975.6,19.2,High Risk
S005,7766,628,8.09,4413414.85,56559894,52146479.15,7.8,Medium Risk
S006,7941,541,6.81,3848267.6,58175196,54326928.4,6.61,Medium Risk
S007,15879,366,2.3,649047.45,28407140,27758092.55,2.28,Low Risk
S008,15959,967,6.06,5076865.55,86669395,81592529.45,5.86,Medium Risk
S009,15644,1613,10.31,3765620.65,37988838,34223217.35,9.91,High Risk
S010,5326,1393,26.15,6329936.6,24980278,18650341.4,25.34,High Risk
