Product_ID,Product,Category,Total_Orders,Returned_Orders,Return_Rate,Total_Refund_Amount,Total_Revenue,Net_Revenue,Refund_Loss_Percentage
P001,Wireless Mouse,Electronics,5196,196,3.77,365800.95,10443633,10077832.05,3.5
P002,Mechanical Keyboard,Electronics,5232,201,3.84,1830764.35,49371324,47540559.65,3.71
P003,Bluetooth Speaker,Electronics,5246,192,3.66,1840927.95,51881273,50040345.05,3.55
P004,Laptop Backpack,Accessories,5326,1393,26.15,6329936.6,24980278,18650341.4,25.34
P005,T-Shirt,Clothing,5250,565,10.76,1250819.65,12162049,10911229.35,10.28
P006,Jeans,Clothing,5204,575,11.05,2623702.45,24794932,22171229.55,10.58
P007,Running Shoes,Clothing,5357,617,11.52,7217427.6,62252038,55034610.4,11.59
P008,Face Wash,Beauty,5202,538,10.34,488707.6,4699227,4210519.4,10.4
P009,Shampoo,Beauty,5227,539,10.31,597817.4,6006300,5408482.6,9.95
P010,Perfume,Beauty,5215,536,10.28,2679095.65,27283311,24604215.35,9.82
P011,Cricket Bat,Sports,5328,318,5.97,2193299.4,38139115,35945815.6,5.75
P012,Football,Sports,5329,323,6.06,1003881.75,17027545,16023663.25,5.9
P013,Dumbbells,Sports,5302,326,6.15,1879684.4,31502735,29623050.6,5.97
P014,Mixer Grinder,Home & Kitchen,5357,412,7.69,3741041.3,51144240,47403198.7,7.31
P015,Pressure Cooker,Home & Kitchen,5206,370,7.11,1704237.5,24676187,22971949.5,6.91
P016,Dinner Set,Home & Kitchen,5144,387,7.52,2816403.65,38914663,36098259.35,7.24
P017,Python Programming Book,Books,5208,115,2.21,198346.8,8889863,8691516.2,2.23
P018,Data Analytics Handbook,Books,5271,124,2.35,302580.95,13027496,12724915.05,2.32
P019,Fiction Novel,Books,5400,127,2.35,148119.7,6489781,6341661.3,2.28
